Argument list too long	PID/THRD     CPU SYSCALL(args) 		 = return
 2267/0x406e3:       5 stat64("/usr/lib/system/libsystem_stats.dylib\0", 0x7FFF5A65BE38, 0x1)		 = 0 0
 2267/0x406e3:       6 stat64("/usr/lib/system/libsystem_trace.dylib\0", 0x7FFF5A65BE38, 0x1)		 = 0 0
 2267/0x406e3:       4 stat64("/usr/lib/system/libunc.dylib\0", 0x7FFF5A65BE38, 0x1)		 = 0 0
 2267/0x406e3:       5 stat64("/usr/lib/system/libunwind.dylib\0", 0x7FFF5A65BE38, 0x1)		 = 0 0
 2267/0x406e3:       5 stat64("/usr/lib/system/libxpc.dylib\0", 0x7FFF5A65BE38, 0x1)		 = 0 0
 2267/0x406e3:       8 stat64("/usr/lib/libobjc.A.dylib\0", 0x7FFF5A65B118, 0x1)		 = 0 0
 2267/0x406e3:       6 stat64("/usr/lib/libauto.dylib\0", 0x7FFF5A65B118, 0x1)		 = 0 0
 2267/0x406e3:       7 stat64("/usr/lib/libc++abi.dylib\0", 0x7FFF5A65AFF8, 0x1)		 = 0 0
 2267/0x406e3:       5 stat64("/usr/lib/libc++.1.dylib\0", 0x7FFF5A65AFF8, 0x1)		 = 0 0
 2267/0x406e3:       5 stat64("/usr/lib/libDiagnosticMessagesClient.dylib\0", 0x7FFF5A65AEE8, 0x1)		 = 0 0
 2267/0x406e3:       0 getpid(0x7FFF9638D740, 0x7FFF5A65AEE8, 0x1)		 = 2267 0
 2267/0x406e3:      29 open("/dev/dtracehelper\0", 0x2, 0x7FFF5A65D240)		 = 3 0
 2267/0x406e3:  214249 ioctl(0x3, 0x80086804, 0x7FFF5A65D1C8)		 = 0 0
 2267/0x406e3:      19 close(0x3)		 = 0 0
 2267/0x406e3:       9 sysctl(0x7FFF5A65C888, 0x2, 0x7FFF5A65C898)		 = 0 0
 2267/0x406e3:       0 thread_selfid(0x7FFF5A65C888, 0x2, 0x7FFF5A65C898)		 = 263907 0
 2267/0x406e3:       2 bsdthread_register(0x7FFF93EA83E0, 0x7FFF93EA83D0, 0x2000)		 = 1073741855 0
 2267/0x406e3:       6 mprotect(0x1055AC000, 0x88, 0x1)		 = 0 0
 2267/0x406e3:       3 mprotect(0x1055AE000, 0x1000, 0x0)		 = 0 0
 2267/0x406e3:       2 mprotect(0x1055C4000, 0x1000, 0x0)		 = 0 0
 2267/0x406e3:       2 mprotect(0x1055C5000, 0x1000, 0x0)		 = 0 0
 2267/0x406e3:       2 mprotect(0x1055DB000, 0x1000, 0x0)		 = 0 0
 2267/0x406e3:       2 mprotect(0x1055DC000, 0x1000, 0x1)		 = 0 0
 2267/0x406e3:       5 mprotect(0x1055AC000, 0x88, 0x3)		 = 0 0
 2267/0x406e3:       3 mprotect(0x1055AC000, 0x88, 0x1)		 = 0 0
 2267/0x406e3:       0 issetugid(0x1055AC000, 0x88, 0x1)		 = 0 0
 2267/0x406e3:       0 getpid(0x1055AC000, 0x88, 0x1)		 = 2267 0
 2267/0x406e3:       6 stat64("/AppleInternal/XBS/.isChrooted\0", 0x7FFF5A65C7E8, 0x1)		 = -1 Err#2
 2267/0x406e3:       2 stat64("/BuildSupport/makeProject\0", 0x7FFF5A65C7E8, 0x1)		 = -1 Err#2
 2267/0x406e3:       1 stat64("/AppleInternal\0", 0x7FFF5A65C758, 0x1)		 = -1 Err#2
 2267/0x406e3:       1 csops(0x8DB, 0x7, 0x7FFF5A65C280)		 = -1 Err#22
 2267/0x406e3:       0 csops(0x8DB, 0x7, 0x7FFF5A65BB60)		 = -1 Err#22
 2267/0x406e3:       1 getrlimit(0x1008, 0x7FFF5A65D270, 0x7FFF5A65BB60)		 = 0 0
 2267/0x406e3:       6 fstat64(0x1, 0x7FFF5A65D308, 0x7FFF5A65BB60)		 = 0 0
 2267/0x406e3:      50 write_nocancel(0x1, "Argument list too long\0", 0x16)		 = 22 0

